slug,title,cluster,type,primary_query,secondary_queries,intent,angle,must_include,internal_links,target_words,status
personalnyy-ii-dlya-issledovatelya,Персональный ИИ для исследователя: источники провенанс и защита от выдумок,C1 Личный ИИ,guide,ии для исследователя,"ии для научной работы,ии и источники,нейросеть выдумывает источники",информационный,"Строит рабочий процесс вокруг одного правила: ни один факт не попадает в заметку без ссылки на источник — и показывает, как это принудить технически.",Схема провенанса факта + чек-лист проверки цитаты из 5 пунктов,"zachem-nuzhen-provenance-v-pamyati,galyutsinatsii-pamyati-i-kak-lovit,ii-dlya-issledovaniya-istochniki,chto-takoe-galyutsinatsiya-ii,chto-takoe-rag-prostymi-slovami",1600,planned
kak-nastroit-harakter-ii,Как настроить характер ИИ: от корпоративного тона до живого собеседника,C1 Личный ИИ,guide,как настроить характер ии,"системный промпт ассистента,ии без корпоративного тона,персонализация ответов ии",транзакционный,"Показывает, что «характер» — это не игрушка, а способ убрать 80% воды из ответов, и даёт три готовых пресета с разбором, что именно каждая строка меняет.",Три готовых системных промпта с построчным разбором эффекта,"sistemnyy-promt-dlya-lichnogo-ii,chto-takoe-sistemnyy-promt,ii-drug-ili-instrument,chto-takoe-promt-inzhiniring,chto-takoe-lichnyy-ii",1300,planned
sistemnyy-promt-dlya-lichnogo-ii,Системный промпт для личного ИИ: что писать и чего не писать,C1 Личный ИИ,guide,системный промпт для ассистента,"как написать системный промпт,инструкция для нейросети,промпт под себя",транзакционный,"В отличие от «100 промптов» — объясняет, почему длинный системный промпт делает ответы хуже, и даёт бюджет в токенах на каждую секцию.",Шаблон промпта с бюджетом токенов по секциям + список 7 антипаттернов,"kak-nastroit-harakter-ii,chto-takoe-sistemnyy-promt,chto-takoe-promt-inzhiniring,chto-takoe-kontekstnoe-okno,kontekstnoe-okno-i-poterya-v-seredine",1200,planned
ii-drug-ili-instrument,ИИ-друг или ИИ-инструмент: зачем ассистенту неформальный тон,C1 Личный ИИ,explainer,ии собеседник,"ии друг,ассистент неформальное общение,ии для поддержки",информационный,"Защищает неформальный режим как инженерное решение (снижает трение обращения), и честно называет риск — привязанность к тому, что не является человеком.",Таблица «когда неформальный тон помогает и когда вредит» + разбор 3 рисков,"kak-nastroit-harakter-ii,lichnyy-ii-i-vygoranie,chto-lichnyy-ii-ne-umeet,dnevnik-i-ii-refleksiya,chto-takoe-lichnyy-ii",1200,planned
chto-takoe-tsifrovoy-dvoynik,Цифровой двойник человека: что реально работает а что фантастика,C1 Личный ИИ,explainer,цифровой двойник человека,"цифровая копия личности,вторая копия себя ии,digital twin человека",информационный,"Разделяет три уровня «двойника» (профиль, стилевая копия, автономный агент) и говорит, что технически достижим только первый с половиной.",Шкала из 3 уровней с критериями достижимости и текущим состоянием,"kak-obuchit-vtoruyu-kopiyu,svoya-model-fine-tune,chto-lichnyy-ii-ne-umeet,kogda-fine-tune-ne-nuzhen,ii-kotoryy-pomnit-cheloveka",1500,planned
istoriya-personalnyh-assistentov,История персональных ассистентов: от Clippy до личного ИИ,C1 Личный ИИ,explainer,история голосовых ассистентов,"почему siri не стала ассистентом,эволюция ии помощников,clippy microsoft",информационный,"Хронология, из которой следует один вывод: каждое поколение упиралось не в интеллект, а в отсутствие памяти о пользователе.",Хронологическая таблица 1996-2026 с колонкой «чего не хватало»,"pochemu-assistenty-ne-prizhilis,chto-takoe-lichnyy-ii,persona-vs-yandex-alisa,persona-vs-apple-intelligence,kak-rabotaet-pamyat-ii",1700,planned
pochemu-assistenty-ne-prizhilis,Почему Siri Алиса и Алекса не стали настоящими ассистентами,C1 Личный ИИ,explainer,почему siri плохая,"алиса не понимает,голосовой ассистент бесполезен,почему алекса не прижилась",информационный,"Разбирает четыре конкретные архитектурные причины провала (интент-классификация, отсутствие памяти, закрытые навыки, монетизация), а не «они тупые».",Разбор 4 причин с примерами диалогов до и после,"istoriya-personalnyh-assistentov,persona-vs-yandex-alisa,golosovoy-dostup-k-pamyati,chto-takoe-ii-agent,chto-takoe-lichnyy-ii",1500,planned
lichnyy-ii-bez-programmirovaniya,Личный ИИ без программирования: что реально доступно обычному человеку,C1 Личный ИИ,guide,личный ии без программирования,"ии без кода,как настроить ии не программисту,локальный ии для новичка",информационный,"Честно делит функциональность на три корзины: работает кликами, требует одной команды в терминале, требует программиста — и говорит, где проходит граница.",Таблица из 15 задач с колонкой «нужен ли терминал»,"ollama-lokalnyy-zapusk,lm-studio-gayd,ustanovka-persona-na-windows-poshagovo,podklyuchit-klyuch-v-persona-poshagovo,kak-nachat-za-5-minut",1300,planned
skolko-stoit-lichnyy-ii,Сколько стоит личный ИИ на самом деле: три сценария бюджета,C1 Личный ИИ,explainer,сколько стоит личный ии,"стоимость локального ии,цена api ключа llm,бесплатный ии ассистент",коммерческий,"Считает полную стоимость владения включая электричество и амортизацию железа — то, что обычно опускают в сравнениях «локально дешевле».","Таблица TCO по 3 сценариям (только API, только локально, гибрид) на горизонте 12 месяцев","kak-schitat-stoimost-tokenov,energopotreblenie-llm-i-schet-za-svet,besplatnye-llm-api-2026,vybor-videokarty-dlya-llm-2026,vtoroy-mozg-bez-podpisok",1600,planned
lichnyy-ii-dlya-semi,Личный ИИ для семьи: где заканчивается общий доступ,C1 Личный ИИ,guide,ии для семьи,"общий ии ассистент,ии на несколько человек,семейный доступ к ассистенту",информационный,"Единственная статья, которая честно говорит: в Persona чат и память раздельные по пользователям, а захват экрана и таймлайн — только у владельца инстанса, и общий семейный лайфлоггинг не поддерживается.",Таблица «что раздельно и что общее» по ролям владелец/участник,"chto-takoe-lichnyy-ii,privatnost-detey-i-ii,samohosting-riski-chestno,nastroika-privatnosti-zahvata,zapis-ekrana-i-chuzhie-dannye",1200,planned
ii-assistent-na-russkom-yazyke,ИИ-ассистент на русском: какие модели реально говорят по-русски,C1 Личный ИИ,comparison,ии на русском языке,"нейросеть на русском,локальная модель русский язык,ии понимает русский",коммерческий,"Отделяет «модель отвечает по-русски» от «модель думает по-русски» — и показывает, как разница проявляется в токенизации и в счёте за API.",Таблица расхода токенов на одинаковый русский текст у 6 моделей + методика самопроверки,"model-dlya-russkogo-yazyka-kak-vybrat,t-lite-i-vikhr-russkie-modeli,yandex-gpt-i-gigachat-obzor,chto-takoe-tokenizatsiya,kak-schitat-stoimost-tokenov",1600,planned
kak-ponyat-chto-nuzhen-lichnyy-ii,Нужен ли вам личный ИИ: дерево решений из семи вопросов,C1 Личный ИИ,explainer,нужен ли мне ии ассистент,"стоит ли ставить локальный ии,кому нужен личный ии,зачем нужен ии помощник",коммерческий,"Единственный материал в карте, который в четырёх ветках из семи отвечает «вам это не нужно» и объясняет почему.",Дерево решений из 7 вопросов с 4 отрицательными исходами,"chto-takoe-lichnyy-ii,chto-lichnyy-ii-ne-umeet,skolko-stoit-lichnyy-ii,lokalnaya-model-vs-oblako,kak-vybirat-ii-assistenta-kriterii",1100,planned
oshibki-pri-vnedrenii-lichnogo-ii,Семь ошибок при внедрении личного ИИ и как их не повторить,C1 Личный ИИ,troubleshooting,ошибки при внедрении ии,"личный ии не помогает,ии ассистент бесполезен,почему ии не работает у меня",информационный,"Диагностическая статья: каждая ошибка описана через симптом, который пользователь видит, а не через рекомендацию.",Таблица «симптом → причина → исправление» на 7 строк,"kak-ponyat-chto-nuzhen-lichnyy-ii,sistemnyy-promt-dlya-lichnogo-ii,chek-list-vnedreniya-vtorogo-mozga,galyutsinatsii-pamyati-i-kak-lovit,kak-udalit-fakt-iz-pamyati-ii",1300,planned
lichnyy-ii-i-vygoranie,Личный ИИ и выгорание: почему у нас нет баллов продуктивности,C1 Личный ИИ,explainer,ии и выгорание,"баллы продуктивности вред,трекер времени тревожность,антифомо",информационный,"Позиционная статья о сознательном отказе от геймификации: объясняет, почему счётчики в трекере усиливают тревогу, и что показывать вместо них.",Сравнение двух вариантов отчёта о дне (метрический и качественный) на одних данных,"antifomo-pochemu-net-ballov-produktivnosti,taym-treking-bez-ruchnogo-vvoda,fokus-i-tihie-chasy,dnevnik-i-ii-refleksiya,ii-drug-ili-instrument",1200,planned
chto-lichnyy-ii-ne-umeet,Чего личный ИИ не умеет: честный список ограничений,C1 Личный ИИ,explainer,ограничения личного ии,"ии не может,недостатки локального ии,чего не умеет нейросеть",информационный,"Полностью отрицательная статья: перечисляет то, что не работает и не будет работать в ближайшее время, включая ограничения самой Persona.",Список из 12 ограничений с пометкой «не сделано / невозможно / отложено»,"kak-ponyat-chto-nuzhen-lichnyy-ii,chto-takoe-tsifrovoy-dvoynik,pochemu-my-proigryvaem-po-nekotorym-punktam,samohosting-riski-chestno,ugrozy-lokalnogo-ii",1400,planned
kak-zapustit-llm-lokalno,Как запустить LLM локально: полное руководство от железа до первого ответа,C2 Локальные модели и железо,pillar,как запустить llm локально,"запустить нейросеть на своём компьютере,локальная llm,локальная нейросеть на пк",информационный,"Единственный материал кластера, который ведёт читателя от «что у меня за железо» до работающей модели, не выбирая за него инструмент — а давая критерий выбора между четырьмя.",Дерево выбора инструмента по железу + таблица требований VRAM/RAM для 5 классов моделей + команды проверки,"skolko-nuzhno-vram-dlya-llm,ollama-lokalnyy-zapusk,lm-studio-gayd,kvantizatsiya-llm-obyasnenie,llm-na-noutbuke-bez-videokarty,vybor-videokarty-dlya-llm-2026,kakuyu-model-vybrat",3200,planned
ollama-lokalnyy-zapusk,Ollama: как запустить ИИ-модель локально на своём компьютере,C2 Локальные модели и железо,guide,ollama,"запустить ии локально,локальный llm,ollama модели",транзакционный,Базовый маршрут установки Ollama и подбора первой модели под конкретный объём VRAM.,Таблица моделей по VRAM + команды pull/run/list,"kak-zapustit-llm-lokalno,podklyuchaem-ollama-k-persona,ollama-nastroyka-parametrov,ollama-oshibki-i-resheniya,kvantizatsiya-llm-obyasnenie",1500,existing
lokalnaya-model-vs-oblako,Локальная модель против облака: что выбрать для личного ИИ,C2 Локальные модели и железо,comparison,локальная модель vs облако,"локальная нейросеть,облачный ии,что выбрать ии",коммерческий,"Компромисс «приватность против интеллекта» разобран как выбор режима под задачу, а не как победа одного лагеря.",Таблица сравнения по 8 критериям + рекомендация гибридного режима,"kak-zapustit-llm-lokalno,privatnyy-ii-lokalno,kakuyu-model-vybrat,gde-vzyat-api-klyuch-k-llm,skolko-stoit-lichnyy-ii",1600,existing
skolko-nuzhno-vram-dlya-llm,Сколько нужно VRAM для локальной LLM: формула и таблица,C2 Локальные модели и железо,explainer,сколько нужно vram для llm,"сколько видеопамяти для нейросети,требования llm к видеокарте,vram для 7b модели",информационный,"Даёт формулу расчёта (параметры × байт на вес + KV-кэш под контекст), по которой читатель сам посчитает любую модель, а не будет искать её в чужой таблице.",Формула с разбором слагаемых + таблица на 12 связок модель/квант/контекст,"kvantizatsiya-llm-obyasnenie,kontekst-i-vram-kv-cache,chto-takoe-vram,vybor-videokarty-dlya-llm-2026,llm-ne-vlezaet-v-pamyat-chto-delat,operativnaya-pamyat-vs-vram-offload",1400,planned
kvantizatsiya-llm-obyasnenie,Квантизация LLM: чем отличаются Q4 Q5 Q8 и что терять не жалко,C2 Локальные модели и железо,explainer,квантизация llm,"q4 q5 q8 разница,квантованная модель,сжатие нейросети",информационный,"Показывает квантизацию как обмен качества на память с конкретной точкой перелома — и объясняет, почему Q4_K_M стал практическим стандартом, а Q2 почти всегда ошибка.","Таблица уровней квантизации с размером, потерей качества и рекомендацией","skolko-nuzhno-vram-dlya-llm,gguf-format-obyasnenie,chto-takoe-parametry-modeli,kak-izmerit-skorost-llm,model-dlya-slabogo-zheleza-tablitsa",1400,planned
gguf-format-obyasnenie,Формат GGUF: что внутри файла модели и почему он победил,C2 Локальные модели и железо,explainer,gguf формат,"что такое gguf,gguf vs safetensors,формат модели для llama cpp",информационный,"Единственная статья, которая объясняет устройство контейнера GGUF (метаданные + тензоры + шаблон чата) и почему шаблон чата внутри файла решает половину проблем с неправильными ответами.",Схема структуры файла GGUF + разбор поля chat_template,"kvantizatsiya-llm-obyasnenie,llama-cpp-gayd,chto-takoe-safetensors,konvertatsiya-v-gguf-i-zapusk-v-ollama,ollama-modelfile-gayd",1200,planned
llama-cpp-gayd,llama.cpp: сборка запуск и параметры без магии,C2 Локальные модели и железо,guide,llama cpp,"llama.cpp как запустить,сборка llama cpp,llama cpp параметры",транзакционный,"Разбирает ровно те флаги, которые меняют скорость в разы (-ngl, -c, -t, -fa), и показывает, как измерить эффект каждого.",Таблица ключевых флагов с эффектом + команды сборки под CUDA/Metal/CPU,"kak-zapustit-llm-lokalno,ollama-vs-llama-cpp,llama-cpp-server-api,flash-attention-i-kv-cache-kvantizatsiya,kak-izmerit-skorost-llm,gguf-format-obyasnenie",1800,planned
ollama-vs-llama-cpp,Ollama против llama.cpp: когда обёртка мешает,C2 Локальные модели и железо,comparison,ollama vs llama cpp,"ollama или llama cpp,что лучше ollama,ollama ограничения",коммерческий,"Не «что лучше», а список из шести конкретных ситуаций, в которых удобство Ollama начинает стоить производительности или контроля.",Таблица 6 сценариев с вердиктом + замер одной модели в обоих инструментах,"llama-cpp-gayd,ollama-nastroyka-parametrov,ollama-modelfile-gayd,kak-izmerit-skorost-llm,lm-studio-gayd",1300,planned
lm-studio-gayd,LM Studio: локальные модели для тех кто не хочет терминал,C2 Локальные модели и железо,guide,lm studio,"lm studio как пользоваться,lm studio настройка,локальная модель с интерфейсом",транзакционный,"Единственный гайд, который сразу называет главное ограничение LM Studio — это закрытое ПО со своими условиями использования, и объясняет, кому это важно.",Пошаговая настройка + разбор вкладки параметров + честная заметка о лицензии,"kak-zapustit-llm-lokalno,jan-ai-gayd,ollama-lokalnyy-zapusk,persona-vs-lm-studio,otkrytye-vesa-vs-open-source",1300,planned
jan-ai-gayd,Jan: открытая альтернатива LM Studio для локальных моделей,C2 Локальные модели и железо,guide,jan ai,"jan локальная модель,jan вместо lm studio,открытый клиент для llm",транзакционный,"Показывает Jan как выбор тех, для кого открытость исходников важнее полировки интерфейса, и не скрывает, что полировка действительно слабее.",Пошаговая настройка + таблица «что есть в LM Studio и чего нет в Jan»,"lm-studio-gayd,kak-zapustit-llm-lokalno,persona-vs-jan,otkrytye-vesa-vs-open-source,ollama-lokalnyy-zapusk",1100,planned
llm-na-noutbuke-bez-videokarty,LLM на ноутбуке без видеокарты: что реально работает,C2 Локальные модели и железо,guide,llm без видеокарты,"нейросеть на ноутбуке,llm на встроенной графике,ии без gpu",информационный,"Отвечает на вопрос честными числами: показывает реальные токены в секунду на интегрированной графике и говорит, при какой скорости пользоваться уже невозможно.",Таблица замеров tok/s для 4 моделей на CPU/iGPU + порог юзабельности,"llm-na-cpu-skorost,model-dlya-slabogo-zheleza-tablitsa,skolko-tokenov-v-sekundu-norma,kvantizatsiya-llm-obyasnenie,operativnaya-pamyat-vs-vram-offload",1300,planned
llm-na-cpu-skorost,LLM на процессоре: от чего зависит скорость и что тюнить,C2 Локальные модели и железо,explainer,llm на cpu,"нейросеть на процессоре скорость,llm без gpu быстро,пропускная способность памяти llm",информационный,"Объясняет, что на CPU скорость упирается в пропускную способность оперативной памяти, а не в число ядер — и показывает, как это проверить.",Формула теоретического потолка tok/s от ПСП + команда замера,"llm-na-noutbuke-bez-videokarty,operativnaya-pamyat-vs-vram-offload,kak-izmerit-skorost-llm,skolko-tokenov-v-sekundu-norma,medlennaya-generatsiya-prichiny",1200,planned
llm-na-amd-rocm,LLM на видеокартах AMD: ROCm Vulkan и реальность,C2 Локальные модели и железо,guide,llm на amd,"rocm llm,нейросеть на radeon,amd для нейросетей",информационный,"Единственная статья кластера, которая разбирает три разных бэкенда для AMD (ROCm, Vulkan, CPU-fallback) и объясняет, почему у соседа заработало, а у вас нет.",Таблица поддержки по поколениям карт + порядок диагностики бэкенда,"kak-zapustit-llm-lokalno,vybor-videokarty-dlya-llm-2026,llm-na-intel-arc-ipex,medlennaya-generatsiya-prichiny,llm-ne-vlezaet-v-pamyat-chto-delat",1400,planned
llm-na-apple-silicon-metal,LLM на Apple Silicon: unified memory и её пределы,C2 Локальные модели и железо,guide,llm на mac,"нейросеть на apple silicon,llm на m1 m2 m3,mac для локальных моделей",информационный,"Объясняет, почему Mac выигрывает по доступному объёму памяти и проигрывает по скорости обработки промпта — асимметрия, о которой обычно молчат.",Таблица ПСП по чипам + разбор разницы prompt eval и generation,"llm-na-cpu-skorost,skolko-tokenov-v-sekundu-norma,kak-izmerit-skorost-llm,vybor-videokarty-dlya-llm-2026,skolko-nuzhno-vram-dlya-llm",1400,planned
llm-na-intel-arc-ipex,LLM на Intel Arc и встроенной графике Intel,C2 Локальные модели и железо,guide,llm на intel arc,"intel arc нейросети,ipex llm,нейросеть на встроенной графике intel",информационный,"Закрывает нишевую, но живую ситуацию: что делать владельцу Arc или свежего iGPU, когда все гайды написаны под NVIDIA.",Порядок установки бэкенда + таблица ожидаемой скорости,"llm-na-amd-rocm,llm-na-noutbuke-bez-videokarty,kak-izmerit-skorost-llm,model-dlya-slabogo-zheleza-tablitsa,kak-zapustit-llm-lokalno",1100,planned
skolko-tokenov-v-sekundu-norma,Сколько токенов в секунду это нормально,C2 Локальные модели и железо,explainer,сколько токенов в секунду,"нормальная скорость llm,tok/s локальная модель,медленно отвечает нейросеть",информационный,"Привязывает абстрактные tok/s к человеческому опыту: скорость чтения вслух, скорость чтения глазами, порог раздражения — и даёт три порога вместо одного.",Шкала из 4 диапазонов tok/s с описанием ощущения + разделение TTFT и генерации,"kak-izmerit-skorost-llm,llm-na-cpu-skorost,chto-takoe-latentnost-ttft,medlennaya-generatsiya-prichiny,llm-na-noutbuke-bez-videokarty",900,planned
kak-izmerit-skorost-llm,Как измерить скорость локальной модели правильно,C2 Локальные модели и железо,guide,как измерить скорость llm,"бенчмарк локальной модели,llama bench,замер tok/s",транзакционный,"Методическая статья: показывает, что большинство домашних замеров неверны из-за прогрева и разного контекста, и даёт воспроизводимый протокол.",Протокол замера из 6 шагов + команды llama-bench и ollama с таймингом,"skolko-tokenov-v-sekundu-norma,llama-cpp-gayd,medlennaya-generatsiya-prichiny,kak-chitat-benchmarki-llm,llm-na-cpu-skorost",1200,planned
vybor-videokarty-dlya-llm-2026,Какую видеокарту взять под локальные LLM,C2 Локальные модели и железо,comparison,видеокарта для нейросетей,"какую видеокарту для llm,gpu для локальных моделей,видеокарта для ии",коммерческий,"Ранжирует карты по одному критерию — рублей за гигабайт VRAM с приемлемой скоростью — и показывает, что топовая карта редко оптимальна.","Таблица карт с VRAM, ПСП и оценкой цены за гигабайт (цены помечены как требующие проверки)","skolko-nuzhno-vram-dlya-llm,bu-videokarty-dlya-llm,rtx-3060-12gb-dlya-llm,dve-videokarty-dlya-llm,energopotreblenie-llm-i-schet-za-svet,chto-takoe-vram",1800,planned
rtx-3060-12gb-dlya-llm,RTX 3060 12 ГБ для локальных моделей: что влезает,C2 Локальные модели и железо,review,rtx 3060 12gb нейросети,"3060 для llm,бюджетная видеокарта для нейросетей,12 гб vram модели",коммерческий,Разбор одной конкретной популярной карты как эталона «бюджетного входа»: что именно помещается при разных контекстах.,Таблица «модель + квант + контекст» с отметкой влезает/нет для 12 ГБ,"vybor-videokarty-dlya-llm-2026,skolko-nuzhno-vram-dlya-llm,kontekst-i-vram-kv-cache,bu-videokarty-dlya-llm,model-dlya-slabogo-zheleza-tablitsa",1000,planned
bu-videokarty-dlya-llm,Б/у видеокарты под LLM: где выгода а где ловушка,C2 Локальные модели и железо,comparison,бу видеокарта для нейросетей,"tesla p40 llm,б/у gpu для llm,дешёвая видеокарта много vram",коммерческий,"Единственный материал, который считает не только цену карты, но и стоимость обвязки — охлаждения, блока питания и переходников — для серверных карт.",Таблица кандидатов с полной стоимостью владения + список 5 подводных камней,"vybor-videokarty-dlya-llm-2026,dve-videokarty-dlya-llm,energopotreblenie-llm-i-schet-za-svet,rtx-3060-12gb-dlya-llm,domashniy-server-dlya-ii",1400,planned
dve-videokarty-dlya-llm,Две видеокарты под одну модель: когда это работает,C2 Локальные модели и железо,explainer,две видеокарты для llm,"мульти gpu нейросеть,разделить модель на две карты,multi gpu llm",информационный,"Объясняет разницу между разделением слоёв и тензорным параллелизмом и честно говорит, что для одного пользователя вторая карта даёт объём, а не скорость.",Схема двух режимов разделения + таблица «что даёт и чего не даёт»,"vybor-videokarty-dlya-llm-2026,bu-videokarty-dlya-llm,llama-cpp-gayd,skolko-nuzhno-vram-dlya-llm,vllm-i-batch-inference",1200,planned
operativnaya-pamyat-vs-vram-offload,Выгрузка слоёв в оперативную память: сколько можно и когда бросить,C2 Локальные модели и железо,explainer,offload слоёв llm,"выгрузка в оперативную память нейросеть,n gpu layers,модель не влезает в видеопамять",информационный,"Показывает нелинейность: первые выгруженные слои почти бесплатны, а после определённой доли скорость падает обвально — и даёт способ найти свою точку.",График-таблица «доля слоёв на CPU → tok/s» + процедура подбора -ngl,"skolko-nuzhno-vram-dlya-llm,llm-ne-vlezaet-v-pamyat-chto-delat,llama-cpp-gayd,llm-na-cpu-skorost,ollama-nastroyka-parametrov",1200,planned
kontekst-i-vram-kv-cache,Почему большой контекст съедает видеопамять,C2 Локальные модели и железо,explainer,контекст съедает vram,"kv cache память,большой контекст нейросеть память,num_ctx vram",информационный,"Связывает две вещи, которые новички считают несвязанными: заявленный размер контекста и внезапную нехватку памяти при длинном диалоге.",Формула объёма KV-кэша + таблица расхода на 4 длины контекста,"chto-takoe-kv-cache,skolko-nuzhno-vram-dlya-llm,flash-attention-i-kv-cache-kvantizatsiya,kontekst-modeli-realnyy-vs-zayavlennyy,ollama-nastroyka-parametrov",1100,planned
